City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,287.96,46,0,6.71,AR,1697662305
1,happy valley-goose bay,53.3168,-60.3315,281.32,61,75,5.14,CA,1697662306
2,puerto natales,-51.7236,-72.4875,288.4,47,75,7.2,CL,1697662306
3,fort-shevchenko,44.5086,50.263,285.83,59,100,6.86,KZ,1697662306
4,taulaga,-11.0553,-171.0883,300.71,80,21,6.84,AS,1697662306
5,trevelin,-43.0858,-71.4639,297.86,36,0,3.93,AR,1697662307
6,remire-montjoly,4.9167,-52.2667,300.17,83,100,3.6,GF,1697662307
7,bahia blanca,-38.7196,-62.2724,295.27,22,75,4.47,AR,1697662307
8,puerto ayora,-0.7393,-90.3518,303.13,91,93,3.58,EC,1697662307
9,college,64.8569,-147.8028,272.12,83,100,1.54,US,1697662308
10,waitangi,-43.9535,-176.5597,285.83,80,100,4.92,NZ,1697662308
11,edinburgh of the seven seas,-37.0676,-12.3116,285.91,92,100,12.23,SH,1697662308
12,kerikeri,-35.2268,173.9474,290.32,92,100,0.89,NZ,1697662308
13,chonchi,-42.6128,-73.8092,291.71,67,21,0.65,CL,1697662308
14,blackmans bay,-43.0167,147.3167,282.89,92,89,0.42,AU,1697662309
15,santa vitoria do palmar,-33.5189,-53.3681,287.58,71,55,3.87,BR,1697662309
16,grand falls-windsor,48.9332,-55.6649,281.21,71,86,3.27,CA,1697662309
17,ust-nera,64.5667,143.2,256.6,91,100,1.79,RU,1697662309
18,georgetown,5.4112,100.3354,299.83,95,20,1.03,MY,1697662094
19,new norfolk,-42.7826,147.0587,283.55,63,97,1.01,AU,1697662310
20,virac,13.6333,124.2167,296.43,84,100,1.49,PH,1697662310
21,tommot,58.9564,126.2925,267.92,95,100,1.64,RU,1697662310
22,tazacorte,28.629,-17.9293,297.69,78,75,2.24,ES,1697662310
23,port-aux-francais,-49.35,70.2167,276.17,96,100,8.47,TF,1697662311
24,paracatu,-17.2222,-46.8747,304.77,24,35,1.17,BR,1697662311
25,salekhard,66.53,66.6019,273.48,87,9,5.62,RU,1697662311
26,bredasdorp,-34.5322,20.0403,289.2,93,54,5.07,ZA,1697662311
27,zimovniki,47.1483,42.4633,279.66,61,81,3.17,RU,1697662311
28,yangiyul,41.112,69.0471,288.63,42,100,2.49,UZ,1697662312
29,hawaiian paradise park,19.5933,-154.9731,301.5,75,20,3.6,US,1697662312
30,paramonga,-10.6667,-77.8333,294.72,80,48,5.37,PE,1697662312
31,nizhniy kuranakh,58.8353,125.4869,270.77,97,100,0.98,RU,1697662312
32,stanley,54.868,-1.6985,284.7,86,40,6.17,GB,1697662312
33,invercargill,-46.4,168.35,285.38,83,100,8.05,NZ,1697662313
34,udachny,66.4167,112.4,262.29,92,68,2.07,RU,1697662313
35,cartersville,34.1651,-84.7999,295.88,43,0,0.0,US,1697662054
36,carnaiba,-8.7,-37.6667,300.93,32,39,4.22,BR,1697662313
37,westerland,54.9079,8.3033,282.16,81,75,7.2,DE,1697662313
38,ilulissat,69.2167,-51.1,264.16,79,75,0.0,GL,1697662314
39,yellowknife,62.456,-114.3525,280.05,98,100,4.63,CA,1697662314
40,albany,42.6001,-73.9662,287.92,73,100,0.9,US,1697662307
41,maridi,4.9158,29.4742,293.86,91,97,1.72,SS,1697662314
42,port elizabeth,-33.918,25.5701,291.66,92,75,2.57,ZA,1697662278
43,whitehorse,60.7161,-135.0538,280.58,89,100,6.17,CA,1697662230
44,pisco,-13.7,-76.2167,296.18,73,0,7.72,PE,1697662315
45,grytviken,-54.2811,-36.5092,276.35,91,100,4.22,GS,1697662315
46,bethel,41.3712,-73.414,290.12,72,93,1.19,US,1697662315
47,talnakh,69.4865,88.3972,276.6,97,100,5.56,RU,1697662315
48,buka,40.8108,69.1986,290.38,48,100,1.41,UZ,1697662316
49,crane,31.3974,-102.3501,305.3,17,4,2.03,US,1697662316
50,iqaluit,63.7506,-68.5145,272.0,92,100,4.63,CA,1697662316
51,saynshand,44.8824,110.1163,275.66,41,0,4.63,MN,1697662316
52,altamira,-3.2033,-52.2064,308.2,46,20,1.03,BR,1697662316
53,el granada,37.5027,-122.4694,306.41,58,0,1.54,US,1697662317
54,lihue,21.9789,-159.3672,300.92,66,40,4.12,US,1697662092
55,nadi,-17.8,177.4167,300.15,65,20,1.54,FJ,1697662317
56,tabora,-5.0167,32.8,298.67,47,71,1.88,TZ,1697662317
57,kourou,5.1552,-52.6478,300.18,78,76,5.06,GF,1697662317
58,kachug,53.9606,105.8817,271.51,95,83,0.89,RU,1697662318
59,utrik,11.2278,169.8474,301.53,76,29,7.77,MH,1697662318
60,adamstown,-25.066,-130.1015,295.71,79,81,2.71,PN,1697662318
61,puerto baquerizo moreno,-0.9,-89.6,300.7,74,75,7.2,EC,1697662318
62,bouar,5.934,15.596,292.95,87,97,0.99,CF,1697662318
63,bilibino,68.0546,166.4372,255.35,100,99,0.86,RU,1697662319
64,torghay,49.6339,63.4981,279.75,49,100,3.17,KZ,1697662319
65,bel ombre,-4.6167,55.4167,300.06,89,40,3.6,SC,1697662319
66,fort mcmurray,56.7268,-111.381,283.92,93,100,3.09,CA,1697661872
67,mangrol,21.1167,70.1167,300.23,58,0,3.59,IN,1697662319
68,dadukou,26.5479,101.7054,288.37,85,4,0.53,CN,1697662320
69,vila franca do campo,37.7167,-25.4333,296.97,99,41,9.12,PT,1697662320
70,susuman,62.7833,148.1667,255.92,81,100,0.89,RU,1697662320
71,jieshi,22.8134,115.8257,296.65,89,100,6.79,CN,1697662320
72,merizo village,13.2658,144.6691,299.25,96,57,4.56,GU,1697662320
73,hanceville,34.0607,-86.7675,297.32,37,0,2.91,US,1697662321
74,acarau,-2.8856,-40.12,299.44,76,3,6.55,BR,1697662321
75,kismayo,-0.3582,42.5454,299.66,85,91,5.45,SO,1697662321
76,zaozersk,69.4005,32.4476,272.9,70,100,4.77,RU,1697662321
77,hirara,24.8,125.2833,295.3,83,20,1.54,JP,1697662321
78,mili,6.0815,171.735,301.28,73,65,4.48,MH,1697662322
79,hithadhoo,-0.6,73.0833,299.67,82,69,3.34,MV,1697662322
80,constantia,44.1833,28.65,281.53,68,2,3.81,RO,1697662323
81,ola,59.5833,151.2833,271.16,44,5,3.17,RU,1697662323
82,tazovsky,67.4667,78.7,277.56,93,100,5.82,RU,1697662323
83,margaret river,-33.95,115.0667,282.76,91,51,3.38,AU,1697662042
84,yaren,-0.5472,166.916,300.58,77,100,5.87,NR,1697662323
85,alvorada,-12.48,-49.1247,308.7,14,15,2.73,BR,1697662324
86,popovaca,44.6392,15.1792,284.04,96,100,4.05,HR,1697662324
87,longyearbyen,78.2186,15.6401,275.06,69,40,10.29,SJ,1697662211
88,tiksi,71.6872,128.8694,264.74,97,100,2.12,RU,1697662324
89,yulinshi,38.2906,109.7494,283.35,39,100,3.31,CN,1697662324
90,yanchep,-31.55,115.6833,288.68,87,36,2.3,AU,1697662325
91,manavalakurichi,8.1333,77.3,298.81,82,98,0.98,IN,1697662325
92,kargil,34.5667,76.1,275.02,53,18,1.24,IN,1697662325
93,tulum,20.2167,-87.4667,301.3,50,99,3.82,MX,1697662060
94,byron bay,-28.65,153.6167,287.99,65,78,4.4,AU,1697661782
95,kodiak,57.79,-152.4072,281.88,43,0,11.83,US,1697662326
96,pacific grove,36.6177,-121.9166,306.79,43,0,2.57,US,1697662326
97,west island,-12.1568,96.8225,299.14,83,75,4.63,CC,1697662326
98,rongelap,11.1635,166.8941,299.7,84,100,8.32,MH,1697662326
99,gamboma,-1.8764,15.8644,296.24,88,96,1.58,CG,1697662326
100,san patricio,28.017,-97.5169,302.55,39,2,5.77,US,1697662327
101,colachel,8.1667,77.25,298.39,85,98,0.57,IN,1697662327
102,baiti,13.745,-14.7482,302.79,54,47,2.58,SN,1697662327
103,rasos,54.669,25.2986,277.26,87,75,2.57,LT,1697662327
104,agbabu,6.5886,4.8343,297.62,96,100,0.96,NG,1697662328
105,lionel town,17.8101,-77.2406,305.09,68,99,4.26,JM,1697662328
106,margate,51.3813,1.3862,289.19,95,100,3.58,GB,1697662328
107,akonolinga,3.7667,12.25,293.33,99,66,0.08,CM,1697662328
108,bikenibeu village,1.3673,173.1241,297.13,94,100,4.12,KI,1697662328
109,neryungri,56.6709,124.6491,267.73,89,99,4.87,RU,1697662329
110,swakopmund,-22.6833,14.5333,288.62,83,24,0.96,,1697662329
111,businga,3.3333,20.8833,295.42,98,96,1.04,CD,1697662329
112,ufa,54.775,56.0375,277.56,51,61,7.15,RU,1697662329
113,afaahiti,-17.75,-149.2833,297.08,84,95,8.08,PF,1697662329
114,kingston,17.997,-76.7936,304.68,77,40,7.72,JM,1697662330
115,saipan,15.1355,145.701,300.54,89,20,4.12,MP,1697662330
116,paracuru,-3.41,-39.0306,299.88,74,72,5.23,BR,1697662330
117,nur-sultan,51.1801,71.446,277.12,75,0,3.0,KZ,1697662330
118,borkum,53.5809,6.6915,283.12,67,100,13.71,DE,1697662330
119,ta`u,-14.2336,-169.5144,299.3,81,100,9.83,AS,1697662331
120,argostolion,38.1811,20.489,291.9,58,0,1.54,GR,1697662331
121,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697662331
122,slave lake,55.2834,-114.769,289.14,55,75,1.54,CA,1697662331
123,shubarshi,48.5872,57.1869,278.15,43,93,1.61,KZ,1697662331
124,acajutla,13.5928,-89.8275,302.96,60,72,2.78,SV,1697662332
125,nadym,65.5333,72.5167,277.87,88,100,4.52,RU,1697662201
126,sitka,57.0531,-135.33,286.09,88,100,2.57,US,1697662332
127,beyneu,45.3167,55.2,284.95,49,100,4.31,KZ,1697662332
128,penaranda de bracamonte,40.9011,-5.2003,288.94,77,72,9.23,ES,1697662332
129,kalengwa,-13.4659,25.0027,295.41,58,94,2.61,ZM,1697662333
130,ketou,7.3633,2.5998,297.83,90,93,2.15,BJ,1697662333
131,zouerate,22.7187,-12.4521,305.64,18,4,2.63,MR,1697662333
132,ribeira grande,38.5167,-28.7,295.37,94,75,10.8,PT,1697662333
133,praia da vitoria,38.7333,-27.0667,296.29,88,75,11.09,PT,1697662333
134,tolanaro,-25.0319,46.9987,297.19,88,75,3.09,MG,1697662334
135,portland,45.5234,-122.6762,294.61,63,8,0.89,US,1697661830
136,coxim,-18.5067,-54.76,311.84,21,70,2.23,BR,1697662276
137,punta arenas,-53.15,-70.9167,288.21,47,0,9.26,CL,1697662334
138,holdenville,35.0804,-96.3992,300.43,27,18,6.85,US,1697662334
139,scaer,48.0333,-3.7,289.66,92,79,6.1,FR,1697662335
140,tsiombe,-25.3,45.4833,294.64,94,100,1.64,MG,1697662335
141,thompson,55.7435,-97.8558,282.24,53,40,3.09,CA,1697662335
142,veinticinco de mayo,-35.4323,-60.1727,294.65,23,100,4.5,AR,1697662335
143,launceston,-41.45,147.1667,283.23,87,56,1.03,AU,1697662336
144,garachico,28.7781,-17.7646,296.21,69,75,1.03,ES,1697662336
145,la tuque,47.4334,-72.7824,287.29,51,22,2.57,CA,1697662324
146,ambovombe,-25.1667,46.0833,295.81,88,100,3.04,MG,1697662336
147,strezhevoy,60.7333,77.5889,284.24,72,100,4.92,RU,1697662336
148,fale old settlement,-9.3852,-171.2468,301.46,72,99,3.29,TK,1697662337
149,ejutla de crespo,16.5667,-96.7333,296.42,48,100,0.62,MX,1697662337
150,tindouf,27.6711,-8.1474,304.4,16,0,1.03,DZ,1697662337
151,kangding,30.0513,101.9603,281.79,90,84,0.65,CN,1697662337
152,richards bay,-28.783,32.0377,292.4,93,3,1.8,ZA,1697662337
153,wailua homesteads,22.0669,-159.378,300.59,67,40,4.12,US,1697662338
154,tura,25.5198,90.2201,292.86,89,0,1.32,IN,1697662338
155,elko,41.0002,-115.5012,295.46,28,0,0.89,US,1697662338
156,tuburan,6.6439,122.2736,300.38,77,99,0.95,PH,1697662338
157,upington,-28.4478,21.2561,299.36,19,0,1.54,ZA,1697662272
158,saint-joseph,-21.3667,55.6167,297.36,85,91,2.76,RE,1697662339
159,kupang,-10.1667,123.5833,296.47,73,74,1.54,ID,1697662339
160,balabac,7.9868,117.0645,300.15,82,92,2.94,PH,1697662339
161,vorgashor,67.5833,63.95,273.55,83,48,6.25,RU,1697662339
162,thames,-37.1333,175.5333,291.29,66,9,0.86,NZ,1697662340
163,skelton,53.7167,-0.8333,286.48,93,100,9.97,GB,1697662340
164,misratah,32.3754,15.0925,299.88,47,33,3.96,LY,1697662340
165,walvis bay,-22.9575,14.5053,288.68,82,22,3.09,,1697662341
166,stephenville,32.2207,-98.2023,301.96,25,0,5.66,US,1697662097
167,atafu village,-8.5421,-172.5159,301.66,72,41,3.72,TK,1697662341
168,pundong,-7.9522,110.3486,296.33,93,97,1.39,ID,1697662341
169,vigan,17.5747,120.3869,298.0,80,100,2.59,PH,1697662341
170,hargeysa,9.56,44.065,294.28,78,22,2.11,SO,1697662341
171,vernon,50.2581,-119.2691,290.35,71,99,2.06,CA,1697662342
172,pervomayskoye,43.919,46.7102,286.6,60,100,6.6,RU,1697662342
173,sile,41.1754,29.6133,289.02,75,61,0.45,TR,1697662342
174,sabang,5.8933,95.3214,300.29,76,100,0.07,ID,1697662342
175,ulanhot,46.0833,122.0833,276.46,57,0,4.73,CN,1697662343
176,st. john's,47.5649,-52.7093,281.57,78,75,4.63,CA,1697662261
177,ancud,-41.8697,-73.8203,284.25,82,12,5.14,CL,1697662343
178,sinabang,2.4803,96.3801,298.74,85,100,0.59,ID,1697662343
179,minas de marcona,-15.2119,-75.1103,291.51,71,37,6.22,PE,1697662343
180,saldanha,-33.0117,17.9442,293.18,81,27,5.59,ZA,1697662344
181,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697662344
182,bonthe,7.5264,-12.505,299.55,83,73,1.95,SL,1697662344
183,otjimbingwe,-22.35,16.1333,295.46,39,0,2.17,,1697662344
184,petropavlovsk-kamchatsky,53.0452,158.6483,279.51,88,40,6.0,RU,1697662344
185,south hedland,-20.4089,118.5983,296.11,28,0,3.6,AU,1697662345
186,feicheng,35.2606,117.9675,289.0,63,100,3.02,CN,1697662345
187,nemuro,43.3236,145.575,287.9,82,100,9.64,JP,1697662345
188,galle,6.0367,80.217,297.62,91,100,4.4,LK,1697662345
189,olonkinbyen,70.9221,-8.7187,276.66,88,100,10.71,SJ,1697662345
190,aasiaat,68.7098,-52.8699,257.71,92,68,2.18,GL,1697662346
191,port mathurin,-19.6833,63.4167,296.69,81,32,4.73,MU,1697662346
192,fort bragg,35.139,-79.006,295.27,45,40,4.12,US,1697662346
193,val-d'or,48.1002,-77.7828,282.2,76,100,4.12,CA,1697662346
194,kovancilar,38.7214,39.8681,287.23,80,100,2.35,TR,1697662346
195,la ronge,55.1001,-105.2842,281.29,81,75,4.12,CA,1697662347
196,rawson,-43.3002,-65.1023,303.31,10,0,9.77,AR,1697662347
197,nova sintra,14.8667,-24.7167,298.11,70,0,4.53,CV,1697662347
198,amga,60.8953,131.9608,269.81,52,100,3.13,RU,1697662347
199,san andres,12.5847,-81.7006,303.16,79,20,3.6,CO,1697662347
200,kita,13.0349,-9.4895,302.58,42,53,1.16,ML,1697662348
201,gore,-46.1028,168.9436,283.74,67,100,1.51,NZ,1697662348
202,komarichi,52.4151,34.7905,278.07,82,100,6.39,RU,1697662348
203,dhidhdhoo,6.8833,73.1,299.96,80,100,4.07,MV,1697662348
204,machico,32.7,-16.7667,297.43,79,20,2.24,PT,1697662349
205,ataq,14.5377,46.8319,293.57,80,12,4.11,YE,1697662349
206,callao,-12.0667,-77.15,295.31,68,75,5.66,PE,1697662349
207,masuguru,-11.3667,38.4167,299.73,62,2,4.32,TZ,1697662349
208,siwana,25.6333,72.4167,298.88,41,0,2.52,IN,1697662349
209,baneasa,44.0461,26.0642,288.01,52,21,0.55,RO,1697662350
210,hami,42.8,93.45,282.8,36,0,1.64,CN,1697662350
211,nuku'alofa,-21.1333,-175.2,295.46,64,65,7.63,TO,1697662350
212,metairie,29.9841,-90.1528,298.71,48,20,4.12,US,1697662262
213,rio rico,31.4715,-110.9765,307.07,21,0,4.06,US,1697662351
214,maxixe,-23.8597,35.3472,293.48,93,0,2.79,MZ,1697662351
215,chivhu,-19.0211,30.8922,287.64,87,1,3.94,ZW,1697662351
216,cabo san lucas,22.8909,-109.9124,306.82,66,70,2.68,MX,1697662264
217,hilo,19.7297,-155.09,301.62,72,20,3.6,US,1697662352
218,santo antonio,-6.3106,-35.4789,297.94,67,14,6.8,BR,1697662352
219,belmonte,-15.8631,-38.8828,297.64,76,75,4.16,BR,1697662352
220,ghadamis,30.1337,9.5007,300.53,18,38,2.63,LY,1697662352
221,pocone,-16.2567,-56.6228,310.67,26,52,3.28,BR,1697662075
222,kaiyuan,23.6977,103.3037,289.36,94,71,1.57,CN,1697662353
223,antofagasta,-23.65,-70.4,291.75,71,34,4.67,CL,1697662353
224,uray,60.1247,64.7758,278.64,60,0,4.92,RU,1697662353
225,thunder bay,48.4001,-89.3168,285.14,76,100,3.6,CA,1697662353
226,crete,35.1558,24.895,288.62,80,37,2.2,GR,1697662354
227,luchegorsk,46.4764,134.2569,277.0,89,49,2.46,RU,1697662354
228,otaru,43.1894,141.0022,286.5,86,100,4.62,JP,1697661928
229,port alberni,49.2413,-124.8028,285.89,94,100,0.45,CA,1697662355
230,tenno,39.9,139.9667,289.59,75,99,6.96,JP,1697662274
231,lebu,-37.6167,-73.65,286.87,70,5,6.35,CL,1697662355
232,ha giang,22.8333,104.9833,294.46,90,96,1.4,VN,1697662356
233,dar chioukh,34.8964,3.4854,293.82,26,44,4.8,DZ,1697662356
234,hamilton,39.1834,-84.5333,292.37,56,0,6.17,US,1697662160
235,tamandare,-8.7597,-35.1047,297.68,75,76,4.99,BR,1697662301
236,lompoc,34.6391,-120.4579,308.58,61,20,3.09,US,1697662357
237,padang,-0.9492,100.3543,298.18,85,100,1.06,ID,1697662357
238,port douglas,-16.4833,145.4667,296.78,75,94,6.82,AU,1697662357
239,castillos,-34.1667,-53.8333,286.73,74,32,3.5,UY,1697662357
240,buala,-8.145,159.5921,300.4,79,91,1.92,SB,1697662358
241,lagunas,-5.2269,-75.6753,304.77,53,88,0.49,PE,1697662358
242,cururupu,-1.8283,-44.8683,299.92,74,50,2.55,BR,1697662358
243,kristiansund,63.1115,7.732,278.51,65,0,7.2,NO,1697662358
244,narsimhapur,22.95,79.2,294.85,72,6,1.4,IN,1697662358
245,port alfred,-33.5906,26.891,291.58,95,86,0.45,ZA,1697662359
246,roma,43.2128,-75.4557,287.94,59,100,3.09,US,1697662266
247,dryden,49.7833,-92.7503,284.31,82,100,0.0,CA,1697662359
248,bodo,67.28,14.405,273.17,87,0,4.12,NO,1697662359
249,tonkino,57.3726,46.4629,274.35,93,79,4.02,RU,1697662360
250,slavuta,50.3016,26.8651,277.03,75,1,2.74,UA,1697662360
251,eirunepe,-6.6603,-69.8736,307.56,42,66,1.83,BR,1697662360
252,buedu,8.2803,-10.3719,294.97,97,90,0.47,SL,1697662360
253,paka,4.6374,103.4368,298.14,88,90,2.06,MY,1697662361
254,bubaque,11.2833,-15.8333,301.15,78,100,4.02,GW,1697662361
255,malaba,0.6346,34.2756,292.42,89,93,3.09,KE,1697662361
256,isafjordur,66.0755,-23.124,279.24,81,100,3.37,IS,1697662361
257,taoudenni,22.6783,-3.9836,307.42,11,73,3.22,ML,1697662361
258,concepcion del oro,24.6333,-101.4167,295.12,21,34,1.77,MX,1697662362
259,bamboo flat,11.7,92.7167,297.2,94,40,1.54,IN,1697662362
260,nikolayevsk-on-amure,53.1406,140.73,278.21,97,100,0.6,RU,1697662362
261,tuy hoa,13.0833,109.3,297.54,91,96,2.05,VN,1697662362
262,kanata,45.3159,-75.8985,288.0,64,75,3.09,CA,1697662204
263,la passe,45.5549,-0.8967,289.81,88,70,4.0,FR,1697662363
264,jonuta,18.0833,-92.1333,301.9,61,74,2.21,MX,1697662363
265,esperanza,19.5847,-70.9849,307.47,62,14,1.34,DO,1697662363
266,papatowai,-46.5619,169.4708,285.16,64,100,4.4,NZ,1697662363
267,ternate,0.8,127.4,299.51,81,51,1.56,ID,1697662148
268,touros,-5.1989,-35.4608,298.73,74,1,6.72,BR,1697662364
269,eraan,9.0629,117.7016,298.6,88,96,1.82,PH,1697662364
270,south hill,47.1412,-122.2701,297.03,49,0,2.06,US,1697662364
271,camarinas,43.1311,-9.1817,292.14,86,17,10.52,ES,1697662364
272,newnham,-41.3833,147.1333,282.96,87,61,1.03,AU,1697662364
273,tshabong,-26.05,22.45,294.8,25,0,3.6,BW,1697662365
274,monrovia,6.3005,-10.7969,299.02,84,82,3.11,LR,1697662365
275,shingu,33.7333,135.9833,291.47,75,100,1.34,JP,1697662365
276,timbuktu,16.7735,-3.0074,308.23,16,23,2.93,ML,1697662365
277,alofi,-19.0595,-169.9187,298.09,57,75,7.72,NU,1697662366
278,seguela,7.9611,-6.6731,297.03,89,47,0.87,CI,1697662366
279,mweka,-4.85,21.5667,294.15,96,100,0.82,CD,1697662366
280,afif,23.9065,42.9172,296.26,16,0,5.36,SA,1697662366
281,matagalpa,12.9256,-85.9175,301.6,69,75,5.14,NI,1697662366
282,kavaratti,10.5669,72.642,301.43,71,24,2.01,IN,1697662367
283,kalmunai,7.4167,81.8167,297.67,85,100,1.88,LK,1697662367
284,george town,5.4112,100.3354,299.83,95,20,1.03,MY,1697662299
285,ingeniero guillermo n. juarez,-23.9,-61.85,300.21,52,69,1.99,AR,1697662367
286,hermanus,-34.4187,19.2345,289.95,87,55,8.25,ZA,1697662367
287,talara,-4.5772,-81.2719,299.57,65,0,8.75,PE,1697662368
288,camacupa,-12.0167,17.4833,292.79,71,12,2.58,AO,1697662368
289,port augusta,-32.5,137.7667,291.09,29,0,1.12,AU,1697662368
290,nova vicosa,-17.8919,-39.3719,298.11,76,3,6.01,BR,1697662338
291,usogorsk,63.4106,48.6872,276.3,87,100,3.88,RU,1697662369
292,velizh,55.6056,31.1967,278.12,96,100,2.55,RU,1697662369
